year,month,L,M,S,-3 SD,-2 SD,-1 SD,median,1 SD,2 SD,3 SD
5,1,61,-0.7387,15.2641,0.08390,12.1,13.0,14.1,15.3,16.6,18.3,20.2
5,2,62,-0.7621,15.2616,0.08414,12.1,13.0,14.1,15.3,16.6,18.3,20.2
5,3,63,-0.7856,15.2604,0.08439,12.1,13.0,14.1,15.3,16.7,18.3,20.2
5,4,64,-0.8089,15.2605,0.08464,12.1,13.0,14.1,15.3,16.7,18.3,20.3
5,5,65,-0.8322,15.2619,0.08490,12.1,13.0,14.1,15.3,16.7,18.3,20.3
5,6,66,-0.8554,15.2645,0.08516,12.1,13.0,14.1,15.3,16.7,18.4,20.4
5,7,67,-0.8785,15.2684,0.08543,12.1,13.0,14.1,15.3,16.7,18.4,20.4
5,8,68,-0.9015,15.2737,0.08570,12.1,13.0,14.1,15.3,16.7,18.4,20.5
5,9,69,-0.9243,15.2801,0.08597,12.1,13.0,14.1,15.3,16.7,18.4,20.5
5,10,70,-0.9471,15.2877,0.08625,12.1,13.0,14.1,15.3,16.7,18.5,20.6
5,11,71,-0.9697,15.2965,0.08653,12.1,13.0,14.1,15.3,16.7,18.5,20.6
6,0,72,-0.9921,15.3062,0.08682,12.1,13.0,14.1,15.3,16.8,18.5,20.7
6,1,73,-1.0144,15.3169,0.08711,12.1,13.0,14.1,15.3,16.8,18.6,20.8
6,2,74,-1.0365,15.3285,0.08741,12.2,13.1,14.1,15.3,16.8,18.6,20.8
6,3,75,-1.0584,15.3408,0.08771,12.2,13.1,14.1,15.3,16.8,18.6,20.9
6,4,76,-1.0801,15.3540,0.08802,12.2,13.1,14.1,15.4,16.8,18.7,21.0
6,5,77,-1.1017,15.3679,0.08833,12.2,13.1,14.1,15.4,16.9,18.7,21.0
6,6,78,-1.1230,15.3825,0.08865,12.2,13.1,14.1,15.4,16.9,18.7,21.1
6,7,79,-1.1441,15.3978,0.08898,12.2,13.1,14.1,15.4,16.9,18.8,21.2
6,8,80,-1.1649,15.4137,0.08931,12.2,13.1,14.2,15.4,16.9,18.8,21.3
6,9,81,-1.1856,15.4302,0.08964,12.2,13.1,14.2,15.4,17.0,18.9,21.3
6,10,82,-1.2060,15.4473,0.08998,12.2,13.1,14.2,15.4,17.0,18.9,21.4
